id,folder,file,size_mb,discipline,sheet_type,floor,sheets_est,title_block,entities,layers,confidence,user_corrected,notes
S001,##실시도서(시공도면 수정),#기초 오시공 구조검토.dwg,1.36,건축(기타),검토도,,,,4205,66,medium,,표제란 블록 없음 → 도곽 수 미상
S002,##실시도서(시공도면 수정)/00_표지,#표지.dwg,0.05,표지,표지·도곽,,6,TITLE BLOCK-V,60,4,medium,,
S003,##실시도서(시공도면 수정)/01_건축,#강판제작도_251028.dwg,0.26,건축,제작도(샵),,2,TITLE BLOCK-V,444,18,medium,,
S004,##실시도서(시공도면 수정)/01_건축,A-000 표지.dwg,0.58,건축,표지·도곽,,1,TITLE BLOCK-V,10,4,medium,,
S005,##실시도서(시공도면 수정)/01_건축,A-001 투시도.dwg,0.50,건축,투시도,,2,TITLE BLOCK-V,16,5,medium,,
S006,##실시도서(시공도면 수정)/01_건축,A-003 도면목록표.dwg,0.61,건축,도면목록표,,1,TITLE BLOCK-V,812,6,medium,,
S007,##실시도서(시공도면 수정)/01_건축,A-004 건축개요.dwg,0.51,건축,건축개요,,1,TITLE BLOCK-V,420,9,medium,,
S008,##실시도서(시공도면 수정)/01_건축,A-011 배치도.dwg,0.54,건축,배치도,,1,TITLE BLOCK-V,160,24,medium,,
S009,##실시도서(시공도면 수정)/01_건축,A-012 대지종횡단면도.dwg,0.51,건축,단면도,,1,TITLE BLOCK-V,169,20,medium,,
S010,##실시도서(시공도면 수정)/01_건축,A-020 면적산출표.dwg,0.70,건축,면적산출표,,3,TITLE BLOCK-V,1623,20,medium,,
S011,##실시도서(시공도면 수정)/01_건축,A-031 보행 및 차량동선 계획도.dwg,0.54,건축,계획도,,1,TITLE BLOCK-V,124,18,medium,,
S012,##실시도서(시공도면 수정)/01_건축,A-032 조경계획도.dwg,0.54,건축,계획도,,1,TITLE BLOCK-V,148,14,medium,,
S013,##실시도서(시공도면 수정)/01_건축,A-033 단열 계획도.dwg,0.64,건축,계획도,,2,TITLE BLOCK-V,544,18,medium,,
S014,##실시도서(시공도면 수정)/01_건축,A-035 흡음 계획도.dwg,0.54,건축,계획도,,2,TITLE BLOCK-V,387,14,medium,,
S015,##실시도서(시공도면 수정)/01_건축,A-037 방수 계획도.DWG,0.55,건축,계획도,,2,TITLE BLOCK-V,516,17,medium,,
S016,##실시도서(시공도면 수정)/01_건축,A-039 방화 계획도.dwg,0.54,건축,계획도,,2,TITLE BLOCK-V,311,18,medium,,
S017,##실시도서(시공도면 수정)/01_건축,A-041 우배수계획도.dwg,0.53,건축,계획도,,2,TITLE BLOCK-V,292,18,medium,,
S018,##실시도서(시공도면 수정)/01_건축,A-043 장애인 편의시설 계획도.dwg,1.73,건축,계획도,,6,TITLE BLOCK-V,9436,137,medium,,
S019,##실시도서(시공도면 수정)/01_건축,A-049 안전난간 계획도.dwg,0.07,건축,계획도,,1,TITLE BLOCK-V,219,13,medium,,
S020,##실시도서(시공도면 수정)/01_건축,A-049 출입문 유효폭 검토.dwg,0.80,건축,검토도,,3,TITLE BLOCK-V,513,13,medium,,
S021,##실시도서(시공도면 수정)/01_건축,"A-060 실내외재료마감표, 상세도.dwg",0.79,건축,실내외재료마감표,,5,TITLE BLOCK-V,2477,49,medium,,
S022,##실시도서(시공도면 수정)/01_건축,A-100 평면도.dwg,0.17,건축,평면도,,3,TITLE BLOCK-V,1488,44,medium,,
S023,##실시도서(시공도면 수정)/01_건축,A-200 입면도.dwg,0.09,건축,입면도,,2,TITLE BLOCK-V,151,14,medium,,
S024,##실시도서(시공도면 수정)/01_건축,A-300 단면도.dwg,0.11,건축,단면도,,1,TITLE BLOCK-V,271,16,medium,,
S025,##실시도서(시공도면 수정)/01_건축,A-400 수직동선 상세도.dwg,0.81,건축,상세도,,3,TITLE BLOCK-V,1307,44,medium,,
S026,##실시도서(시공도면 수정)/01_건축,A-500 외벽확대 상세도.dwg,0.80,건축,상세도,,7,TITLE BLOCK-V,1659,27,medium,,
S027,##실시도서(시공도면 수정)/01_건축,A-520 부분확대 상세도.dwg,0.87,건축,상세도,,2,TITLE BLOCK-V,718,48,medium,,
S028,##실시도서(시공도면 수정)/01_건축,A-520 부분확대 상세도_recover.dwg,0.87,건축,상세도,,2,TITLE BLOCK-V,726,48,medium,,AutoCAD RECOVER 산출 사본(중복 가능)
S029,##실시도서(시공도면 수정)/01_건축,A-530 접합 상세도.dwg,0.53,건축,상세도,,1,TITLE BLOCK-V,84,18,medium,,
S030,##실시도서(시공도면 수정)/01_건축,A-601 기숙사 상세도-1(일반생활관 평면도).dwg,0.55,건축,평면도,,1,TITLE BLOCK-V,344,19,medium,,
S031,##실시도서(시공도면 수정)/01_건축,"A-602 기숙사 상세도-2(일반생활관 천장,입단면도).dwg",0.25,건축,천장평면도(RCP),,3,TITLE BLOCK-V,628,32,medium,,
S032,##실시도서(시공도면 수정)/01_건축,A-605 기숙사 상세도-5(장애인생활관 평면도).dwg,0.55,건축,평면도,,1,TITLE BLOCK-V,310,17,medium,,
S033,##실시도서(시공도면 수정)/01_건축,"A-606 기숙사 상세도-6(장애인생활관 천장,입단면도).dwg",0.76,건축,천장평면도(RCP),,2,TITLE BLOCK-V,853,58,medium,,
S034,##실시도서(시공도면 수정)/01_건축,A-620 화장실 전개도.dwg,2.09,건축,실내전개도,,5,TITLE BLOCK-V,2295,37,medium,,
S035,##실시도서(시공도면 수정)/01_건축,A-700 창호위치안내도.DWG,0.19,건축,창호일람표·안내도,,3,TITLE BLOCK-V,805,11,medium,,
S036,##실시도서(시공도면 수정)/01_건축,A-710 창호도.dwg,1.09,건축,창호일람표·안내도,,9,TITLE BLOCK-V,4632,57,medium,,
S037,##실시도서(시공도면 수정)/01_건축,A-800 바닥 평면도.dwg,0.16,건축,바닥평면도,,3,TITLE BLOCK-V,813,23,medium,,
S038,##실시도서(시공도면 수정)/01_건축,A-810 천장 평면도.dwg,1.65,건축,천장평면도(RCP),,3,TITLE BLOCK-V,1028,36,medium,,
S039,##실시도서(시공도면 수정)/01_건축,A-820 건식벽체 안내도.dwg,1.17,건축,안내도·키맵,,8,TITLE BLOCK-V,4457,66,medium,,
S040,##실시도서(시공도면 수정)/01_건축,A-900 기타상세도.dwg,0.74,건축,상세도,,3,TITLE BLOCK-V,2315,100,medium,,
S041,##실시도서(시공도면 수정)/02_기계,01_기계도면(김화공고 모듈러 생활관 증축공사)_수정.DWG,7.68,기계,,,51,TITLE BLOCK-V,127974,88,low,,파일명에서 시트 유형 추정 불가
S042,##실시도서(시공도면 수정)/03_전기,김화공업고등학교 모듈러 생활관 제작·설치 구매_전기도서 (1).dwg,19.83,전기,공종 도서(복합),,104,TITLE BLOCK-V,348076,102,medium,,
S043,##실시도서(시공도면 수정)/04_통신,김화공업고등학교 모듈러 생활관 제작·설치 구매_통신도서.dwg,8.86,통신,공종 도서(복합),,28,TITLE BLOCK-V,70550,49,medium,,
S044,##실시도서(시공도면 수정)/05_소방_기계,01_기계소방도면(김화공고 모듈러 생활관 증축공사).dwg,3.44,소방(기계),,,16,TITLE BLOCK-V,48473,30,low,,파일명에서 시트 유형 추정 불가
S045,##실시도서(시공도면 수정)/05_소방_기계,02_기계소방내진도면(김화공고 모듈러 생활관 증축공사).dwg,9.80,소방(기계),,,29,TITLE BLOCK-V,89621,39,low,,파일명에서 시트 유형 추정 불가
S046,##실시도서(시공도면 수정)/06_소방_전기,김화공업고등학교 모듈러 생활관 제작·설치 구매_전기소방도서 (3).dwg,6.86,소방(전기),공종 도서(복합),,28,TITLE BLOCK-V,124487,28,medium,,
S047,##실시도서(시공도면 수정)/XR,PLAN.dwg,1.96,참조도면(XREF),평면도,,,,1656,74,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S048,##실시도서(시공도면 수정)/XR,TITLE BLOCK-V.dwg,0.54,참조도면(XREF),표지·도곽,,,,17,3,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S049,##실시도서(시공도면 수정)/XR,xr_elevation.dwg,0.33,참조도면(XREF),입면도,,,,533,27,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S050,##실시도서(시공도면 수정)/XR,xr_keymap.dwg,0.03,참조도면(XREF),안내도·키맵,,,,11,6,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S051,##실시도서(시공도면 수정)/XR,xr_section.dwg,0.89,참조도면(XREF),단면도,,,,1133,50,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S052,##실시도서(시공도면 수정)/XR,단위세대_평면.dwg,0.74,참조도면(XREF),,,,,251,18,low,,XREF 대상 파일(호스트 아님); 파일명에서 시트 유형 추정 불가; 표제란 블록 없음 → 도곽 수 미상
S053,##실시도서(시공도면 수정)/XR,현황도_김화중공업고등학교.dwg,1.29,참조도면(XREF),현황도,,,,9866,107,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S054,#골조샵,250711-목업골조제작도.dwg,1.84,골조샵(구조),제작도(샵),,2,TITLE BLOCK-V,7390,185,medium,,
S055,#골조샵,250813-모듈안내도.dwg,2.90,골조샵(구조),안내도·키맵,,3,TITLE BLOCK-V,456,20,medium,,
S056,#골조샵,A-000 표지.dwg,0.05,골조샵(구조),표지·도곽,,4,TITLE BLOCK-V,36,4,medium,,
S057,#골조샵,A-100 평면도.dwg,0.17,골조샵(구조),평면도,,3,TITLE BLOCK-V,814,25,medium,,
S058,#골조샵/XR,PLAN(250618).dwg,1.54,참조도면(XREF),평면도,,,,1339,39,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S059,#골조샵/XR,PLAN.dwg,2.99,참조도면(XREF),평면도,,,,1733,58,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S060,#골조샵/XR,TITLE BLOCK-V.dwg,0.08,참조도면(XREF),표지·도곽,,,,17,3,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S061,#골조샵/XR,xr_elevation.dwg,0.13,참조도면(XREF),입면도,,,,600,20,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S062,#골조샵/XR,xr_keymap.dwg,0.03,참조도면(XREF),안내도·키맵,,,,11,6,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S063,#골조샵/XR,xr_section.dwg,2.13,참조도면(XREF),단면도,,,,1302,51,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S064,#골조샵/XR,xr_section_YH.dwg,0.17,참조도면(XREF),단면도,,,,606,37,medium,,XREF 대상 파일(호스트 아님); 표제란 블록 없음 → 도곽 수 미상
S065,#골조샵/XR,단위세대_평면.dwg,0.14,참조도면(XREF),,,,,30,13,low,,XREF 대상 파일(호스트 아님); 파일명에서 시트 유형 추정 불가; 표제란 블록 없음 → 도곽 수 미상
